test_date,district,tests_combined,cases_combined,tests_nontraveller,cases_nontraveller
2020-01-06,Barguna,1,1,1,1
2020-01-06,BARISHAL,2,0,2,0
2020-01-06,Patuakhali,2,0,2,0
2020-01-06,Pirojpur,1,0,1,0
2020-01-08,CHATTOGRAM,7,1,7,1
2020-01-08,Dinajpur,3,0,3,0
2020-01-09,CHATTOGRAM,7,1,7,1
2020-01-16,Narayanganj,1,0,1,0
2020-01-30,Natore,1,1,1,1
2020-01-31,Dhaka,1,1,1,1
2020-01-31,Pabna,1,0,1,0
2020-02-01,Dhaka,1,0,1,0
2020-02-01,Noakhali,19,0,19,0
2020-02-03,Dhaka,1,1,1,1
2020-02-06,Dhaka,7,3,7,3
2020-02-06,Naogaon,2,0,2,0
2020-02-08,CHATTOGRAM,1,0,1,0
2020-02-08,Dinajpur,3,0,3,0
2020-02-08,Thakurgaon,3,0,3,0
2020-02-14,Dhaka,1,0,1,0
2020-02-17,Gazipur,1,0,1,0
2020-02-17,Sirajganj,37,0,37,0
2020-03-02,BOGURA,5,0,5,0
2020-03-06,Bhola,7,0,7,0
2020-03-06,Chuadanga,1,0,1,0
2020-03-06,Dhaka,16,3,16,3
2020-03-06,Jhalokati,1,0,1,0
2020-03-06,Meherpur,1,0,1,0
2020-03-06,Narayanganj,1,0,1,0
2020-03-06,Patuakhali,1,1,1,1
2020-03-06,Pirojpur,5,0,5,0
2020-03-06,Rajbari,1,0,1,0
2020-03-08,Bhola,6,1,6,1
2020-03-08,CHATTOGRAM,2,1,2,1
2020-03-08,Dhaka,134,51,134,51
2020-03-08,Dinajpur,4,0,4,0
2020-03-08,Gazipur,1,0,1,0
2020-03-08,Narayanganj,4,4,4,4
2020-03-08,Natore,1,1,1,1
2020-03-08,Pabna,1,0,1,0
2020-03-08,Patuakhali,2,0,2,0
2020-03-09,CHATTOGRAM,6,2,6,2
2020-03-09,Dhaka,1,1,1,1
2020-03-12,Dhaka,1,1,1,1
2020-03-19,Dhaka,1,1,1,1
2020-03-20,Dhaka,1,1,1,1
2020-03-20,Noakhali,1,0,1,0
2020-03-22,Dhaka,2,1,1,1
2020-03-23,Dhaka,1,0,1,0
2020-03-25,Dhaka,1,1,1,1
2020-03-26,Dhaka,1,1,1,1
2020-03-27,Dhaka,1,1,1,1
2020-03-27,Gaibandha,1,1,1,1
2020-03-27,Sylhet,1,0,1,0
2020-03-30,Barguna,1,0,1,0
2020-03-31,Dhaka,1,1,1,1
2020-03-31,Pirojpur,1,0,1,0
2020-04-02,BOGURA,1,1,1,1
2020-04-02,Dhaka,1,0,1,0
2020-04-03,Barguna,4,0,4,0
2020-04-03,BARISHAL,3,0,3,0
2020-04-03,Dhaka,2,0,2,0
2020-04-03,Dinajpur,1,0,1,0
2020-04-03,Faridpur,1,0,1,0
2020-04-03,Gopalganj,7,0,7,0
2020-04-03,Magura,1,0,1,0
2020-04-03,Narsingdi,1,0,1,0
2020-04-03,Panchagarh,2,1,2,1
2020-04-03,Patuakhali,6,0,6,0
2020-04-03,Pirojpur,4,0,4,0
2020-04-04,COXS BAZAR,4,0,4,0
2020-04-04,Dhaka,98,18,98,18
2020-04-04,Jamalpur,1,0,1,0
2020-04-04,KISHOREGANJ,2,0,2,0
2020-04-04,Moulvibazar,2,1,2,1
2020-04-04,Mymensingh,6,0,6,0
2020-04-04,Netrakona,7,0,7,0
2020-04-04,Patuakhali,1,0,1,0
2020-04-04,Rajshahi,1,0,1,0
2020-04-04,Sunamganj,3,0,3,0
2020-04-04,Sylhet,1,1,1,1
2020-04-04,Tangail,1,0,1,0
2020-04-05,Bhola,5,0,5,0
2020-04-05,Chandpur,2,0,2,0
2020-04-05,COXS BAZAR,6,0,6,0
2020-04-05,CUMILLA,4,0,4,0
2020-04-05,Dhaka,19,7,19,7
2020-04-05,Jamalpur,3,1,3,1
2020-04-05,Moulvibazar,1,1,1,1
2020-04-05,Mymensingh,7,0,7,0
2020-04-05,Narayanganj,8,7,8,7
2020-04-05,Netrakona,7,0,7,0
2020-04-05,Patuakhali,2,0,2,0
2020-04-05,Sherpur,2,2,2,2
2020-04-05,Sylhet,1,1,1,1
2020-04-05,Tangail,1,0,1,0
2020-04-06,BARISHAL,1,0,1,0
2020-04-06,Bhola,6,0,6,0
2020-04-06,COXS BAZAR,2,0,2,0
2020-04-06,CUMILLA,1,0,1,0
2020-04-06,Dhaka,44,14,44,14
2020-04-06,Dinajpur,2,0,2,0
2020-04-06,Gaibandha,1,1,1,1
2020-04-06,Jhalokati,4,0,4,0
2020-04-06,Kurigram,1,0,1,0
2020-04-06,Madaripur,2,2,2,2
2020-04-06,Mymensingh,10,0,10,0
2020-04-06,Narayanganj,13,4,13,4
2020-04-06,Narsingdi,1,1,1,1
2020-04-06,Netrakona,1,0,1,0
2020-04-06,Patuakhali,3,0,3,0
2020-04-06,Pirojpur,5,0,5,0
2020-04-06,Rajbari,1,0,1,0
