"Area","AgeDisplay","AgeNumeric","Population"
"Bangladesh","0 to 4",0,14837263.5522368
"Bangladesh","5 to 9",5,17907378.6464732
"Bangladesh","10 to 14",10,16403074.2861502
"Bangladesh","15 to 19",15,12660137.2564466
"Bangladesh","20 to 24",20,13081299.0286811
"Bangladesh","25 to 29",25,13262035.811261
"Bangladesh","30 to 34",30,10336435.7175465
"Bangladesh","35 to 39",35,9411636.49382293
"Bangladesh","40 to 44",40,8139140.53070646
"Bangladesh","45 to 49",45,6287722.79040048
"Bangladesh","50 to 54",50,5472520.89328635
"Bangladesh","55 to 59",55,3452063.02938769
"Bangladesh","60 to 64",60,3879468.89789532
"Bangladesh","65 to 69",65,2085289.65688482
"Bangladesh","70 to 74",70,2201694.55398069
"Bangladesh","75 to 79",75,863321.527294567
"Bangladesh","80 plus",80,1594058.60950109
