date,red,orange,yellow,green
2020-04-07,0,0,2,62
2020-04-08,0,0,2,62
2020-04-09,0,0,4,60
2020-04-10,0,0,4,60
2020-04-11,0,0,4,60
2020-04-12,0,1,2,61
2020-04-13,0,1,5,58
2020-04-14,0,1,3,60
2020-04-15,1,0,6,57
2020-04-16,1,2,6,55
2020-04-17,1,2,7,54
2020-04-18,2,2,9,51
2020-04-19,3,2,10,49
2020-04-20,3,2,9,50
2020-04-21,3,2,11,48
2020-04-22,3,2,13,46
2020-04-23,2,3,15,44
2020-04-24,2,3,19,40
2020-04-25,1,4,18,41
2020-04-26,0,5,20,39
2020-04-27,0,4,24,36
2020-04-28,0,2,29,33
2020-04-29,0,2,30,32
2020-04-30,1,2,29,32
2020-05-01,1,2,25,36
2020-05-02,1,2,25,36
2020-05-03,1,2,23,38
2020-05-04,1,2,17,44
2020-05-05,0,2,17,45
2020-05-06,0,2,12,50
2020-05-07,0,2,12,50
2020-05-08,0,2,12,50
2020-05-09,0,1,13,50
2020-05-10,0,1,14,49
2020-05-11,0,1,12,51
2020-05-12,0,1,9,54
2020-05-13,0,0,12,52
2020-05-14,0,0,12,52
2020-05-15,0,0,15,49
2020-05-16,0,0,16,48
2020-05-17,0,0,15,49
2020-05-18,0,0,15,49
2020-05-19,0,0,19,45
2020-05-20,0,0,17,47
2020-05-21,0,0,18,46
2020-05-22,0,0,18,46
2020-05-23,0,0,21,43
2020-05-24,0,1,20,43
2020-05-25,0,1,21,42
2020-05-26,0,2,20,42
2020-05-27,0,2,21,41
2020-05-28,0,3,25,36
2020-05-29,0,3,26,35
2020-05-30,0,3,32,29
2020-05-31,0,3,34,27
2020-06-01,0,3,35,26
2020-06-02,0,3,38,23
2020-06-03,0,4,37,23
2020-06-04,0,5,37,22
2020-06-05,0,6,37,21
2020-06-06,0,8,32,24
2020-06-07,0,8,28,28
2020-06-08,0,10,29,25
2020-06-09,0,11,33,20
2020-06-10,0,11,33,20
2020-06-11,0,9,36,19
2020-06-12,0,11,36,17
2020-06-13,0,12,37,15
2020-06-14,0,11,37,16
2020-06-15,1,11,40,12
2020-06-16,1,12,37,14
2020-06-17,2,11,37,14
2020-06-18,2,11,37,14
2020-06-19,2,13,32,17
2020-06-20,3,13,33,15
2020-06-21,3,12,38,11
2020-06-22,4,12,39,9
