date,red,orange,yellow,green
2021-04-11,3,26,34,1
2021-04-12,4,22,37,1
2021-04-13,4,18,40,2
2021-04-14,3,16,42,3
2021-04-15,2,15,39,8
2021-04-16,2,14,35,13
2021-04-17,1,12,37,14
2021-04-18,1,12,37,14
2021-04-19,1,12,37,14
2021-04-20,1,12,37,14
2021-04-21,1,12,37,14
2021-04-22,1,12,37,14
2021-04-23,1,12,37,14
2021-04-24,1,12,37,14
2021-04-25,2,13,35,14
2021-04-26,1,13,36,14
2021-04-27,1,11,36,16
2021-04-28,1,8,35,20
2021-04-29,1,2,39,22
2021-04-30,1,0,38,25
2021-05-01,1,0,30,33
2021-05-02,0,1,18,45
