date,isolation
2020-03-28,311.00
2020-04-08,111.00
2020-04-09,135.00
2020-04-10,152.00
2020-04-11,179.00
2020-04-12,215.00
2020-04-13,299.00
2020-04-14,383.00
2020-04-15,433.00
2020-04-16,461.00
2020-04-17,564.00
2020-04-18,599.00
2020-04-19,640.00
2020-04-20,713.00
2020-04-21,765.00
2020-04-22,900.00
2020-04-23,995.00
2020-04-24,1099.00
2020-04-25,1133.00
2020-04-26,1164.00
2020-04-27,1220.00
2020-04-28,1284.00
2020-04-29,1340.00
2020-04-30,1420.00
2020-05-01,1522.00
2020-05-02,1632.00
2020-05-03,1637.00
2020-05-04,1636.00
2020-05-05,1694.00
2020-05-06,1794.00
2020-05-07,1771.00
2020-05-08,1874.00
2020-05-09,2017.00
2020-05-10,2115.00
2020-05-11,2236.00
2020-05-12,2361.00
2020-05-13,2435.00
2020-05-14,2570.00
2020-05-15,2748.00
2020-05-16,3046.00
2020-05-17,3248.00
2020-05-18,3383.00
2020-05-19,3616.00
2020-05-20,3816.00
2020-05-21,3897.00
2020-05-22,4060.00
2020-05-23,4305.00
2020-05-24,4464.00
2020-05-25,4653.00
2020-05-26,4770.00
2020-05-27,4994.00
2020-05-28,4984.00
2020-05-29,5140.00
2020-05-30,5529.00
2020-05-31,5794.00
2020-06-01,6021.00
2020-06-02,6240.00
2020-06-03,6498.00
2020-06-04,6754.00
2020-06-05,6946.00
2020-06-06,7162.00
2020-06-07,7399.00
2020-06-08,7552.00
2020-06-09,7893.00
2020-06-10,8243.00
2020-06-11,8764.00
2020-06-12,9012.00
2020-06-13,9340.00
2020-06-14,9758.00
2020-06-15,10026.00
2020-06-16,10302.00
2020-06-17,10752.00
2020-06-18,11026.00
2020-06-19,11474.00
2020-06-20,11915.00
2020-06-21,12190.00
2020-06-22,12467.00
2020-06-23,12927.00
2020-06-24,13158.00
2020-06-25,13429.00
2020-06-26,13800.00
2020-06-27,14267.00
