,Forecast
2020-05-30,45203.0
2020-05-31,47614.0
2020-06-01,50008.0
2020-06-02,52408.0
2020-06-03,54806.0
2020-06-04,57205.0
2020-06-05,59603.0
2020-06-06,62001.0
2020-06-07,64400.0
2020-06-08,66798.0
2020-06-09,69197.0
2020-06-10,71595.0
2020-06-11,73994.0
2020-06-12,76392.0
2020-06-13,78790.0
2020-06-14,81189.0
2020-06-15,83587.0
2020-06-16,85986.0
2020-06-17,88384.0
2020-06-18,90783.0
2020-06-19,93181.0
2020-06-20,95580.0
2020-06-21,97978.0
2020-06-22,100376.0
2020-06-23,102775.0
2020-06-24,105173.0
2020-06-25,107572.0
2020-06-26,109970.0
2020-06-27,112368.0
2020-06-28,114767.0
